Hole,,MnPS3,,CrPS4,,NiPS3,,FePS3,,
Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,
1193,27.42622757,1193,2.677337408,1193,0.6657037139,1193,0.2065851837,1193,0.2282654941,
1190,27.38715935,1190,2.722443342,1190,0.6727844477,1190,0.2167788297,1190,0.2331046164,
1187,27.37375832,1187,2.700474739,1187,0.662483573,1187,0.2139547616,1187,0.2274574935,
1184,27.51155853,1184,2.714990616,1184,0.6525191665,1184,0.2100203931,1184,0.2328803241,
1181,27.56956291,1181,2.680166006,1181,0.6527866125,1181,0.2044510394,1181,0.2299441695,
1178,27.6163063,1178,2.655290365,1178,0.6526296735,1178,0.2119825929,1178,0.2280188203,
1175,27.56587219,1175,2.651971102,1175,0.6596402526,1175,0.2019686848,1175,0.2320730537,
1172,27.45674324,1172,2.657137632,1172,0.6673538089,1172,0.2014588863,1172,0.2325542718,
1169,27.38837242,1169,2.695407629,1169,0.6723088026,1169,0.2078050077,1169,0.2325092405,
1166,27.38017082,1166,2.699823618,1166,0.6639909744,1166,0.2099546343,1166,0.229116708,
1163,27.47828293,1163,2.685313702,1163,0.6650115252,1163,0.2077981383,1163,0.2201514542,
1160,27.57177734,1160,2.664088011,1160,0.6628243923,1160,0.206088528,1160,0.2214836627,
1157,27.58738327,1157,2.614347458,1157,0.6715174913,1157,0.2039963156,1157,0.2270427346,
1154,27.55559731,1154,2.627598763,1154,0.6805372834,1154,0.2025084049,1154,0.2228130996,
1151,27.46286011,1151,2.632929564,1151,0.6856274605,1151,0.2034457177,1151,0.2191650867,
1148,27.37435913,1148,2.674960613,1148,0.681994617,1148,0.1961043328,1148,0.2179347426,
