Hole,,MnPS3,,CrPS4,,NiPS3,,FePS3,,
Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,
1538,315.2658386,1538,247.1425018,1538,240.1005096,1538,372.1753235,1538,182.4575958,
1536,315.5692139,1536,247.2210236,1536,242.099762,1536,371.8884888,1536,182.2190399,
1534,315.8499146,1534,246.6168365,1534,243.0366058,1534,371.851593,1534,181.0815735,
1532,317.0367126,1532,245.7795868,1532,242.7669067,1532,371.938385,1532,180.7617188,
1530,317.6590576,1530,245.9532928,1530,241.558197,1530,372.024353,1530,180.8227081,
1528,317.7339172,1528,246.1882782,1528,239.5091095,1528,371.9675903,1528,181.6263275,
1526,317.7087097,1526,247.3470764,1526,239.7859802,1526,371.5322266,1526,181.8534088,
1524,316.9328308,1524,248.0070648,1524,240.2598114,1524,370.9899902,1524,181.7994537,
1522,317.3202209,1522,248.1120148,1522,241.9420013,1522,370.7044983,1522,181.5169525,
1520,317.7521667,1520,247.5332489,1520,243.2946014,1520,370.6166992,1520,180.4962921,
1518,318.4942932,1518,246.8564301,1518,243.0930634,1518,370.5666199,1518,180.1337433,
1516,319.2575989,1516,247.1419067,1516,241.9170074,1516,370.5681458,1516,180.0757599,
1514,319.2282104,1514,247.3055115,1514,239.7925873,1514,370.4910889,1514,180.8477478,
1512,319.3017273,1512,248.0519562,1512,240.0153656,1512,370.068512,1512,181.1605835,
1510,318.5263062,1510,248.7034302,1510,240.3698883,1510,369.4703369,1510,180.9762573,
1508,318.835083,1508,248.4904785,1508,241.8566284,1508,368.9694214,1508,180.7828674,
1506,318.9552917,1506,247.861908,1506,243.510025,1506,368.9530945,1506,179.8323822,
1504,319.6957092,1504,246.9367981,1504,243.196228,1504,368.675293,1504,179.3485718,
1502,320.5022583,1502,247.0310669,1502,242.1776276,1502,368.6380005,1502,179.2630615,
1500,320.632019,1500,247.3764648,1500,239.7545624,1500,368.5509338,1500,179.826004,
1498,320.4683838,1498,247.9254913,1498,239.8275909,1498,367.9503479,1498,180.2836609,
1496,319.6165771,1496,248.684433,1496,239.9697723,1496,367.3243103,1496,180.0753937,
1494,319.7251892,1494,248.3689728,1494,241.0914459,1494,366.7347107,1494,179.800354,
1492,320.037323,1492,247.5916443,1492,243.0759735,1492,366.5489197,1492,178.8185272,
1490,320.4086914,1490,246.3377533,1490,242.7342224,1490,366.4194946,1490,178.3121643,
1488,321.2662048,1488,246.4650116,1488,241.5535278,1488,366.2791138,1488,178.1469421,
1486,321.2876587,1486,246.7187653,1486,239.0687256,1486,365.9580994,1486,178.5830383,
1484,321.2716675,1484,247.5619965,1484,239.1094971,1484,365.5741577,1484,179.050293,
1482,320.5587769,1482,248.3765869,1482,239.287323,1482,365.1671753,1482,178.9546356,
1480,320.425354,1480,248.1939087,1480,240.2904205,1480,364.4492493,1480,178.6032257,
1478,320.6491089,1478,247.6186218,1478,242.4081116,1478,364.4085999,1478,177.53479,
1476,320.9630127,1476,246.4628906,1476,242.1508789,1476,364.4193726,1476,176.9109039,
1474,321.7785034,1474,246.5456238,1474,241.3181763,1474,364.1786804,1474,176.74646,
1472,321.738678,1472,246.8460083,1472,238.7467804,1472,364.0763855,1472,176.9047546,
1470,321.4638672,1470,247.4217377,1470,238.4702148,1470,363.5302429,1470,177.3034515,
1468,320.7373657,1468,248.4411011,1468,238.7121735,1468,362.8216858,1468,177.2049255,
1466,320.6809387,1466,248.2070618,1466,239.593811,1466,362.2342529,1466,176.9172516,
1464,320.5809326,1464,247.5883942,1464,241.6452637,1464,361.769989,1464,175.9835052,
1462,320.8356018,1462,246.1517334,1462,241.2302551,1462,361.4705505,1462,175.2276306,
1460,321.6290588,1460,246.0079651,1460,240.4893188,1460,361.1839294,1460,175.0604248,
1458,321.4338684,1458,246.3322144,1458,238.0155334,1458,360.8116455,1458,175.1785889,
1456,321.2941284,1456,246.9279938,1456,237.4840088,1456,360.2298584,1456,175.8431854,
1454,320.2095337,1454,247.8785706,1454,237.6478424,1454,359.692627,1454,175.7006378,
1452,319.9379272,1452,247.6691895,1452,238.4576721,1452,358.9605408,1452,175.3437958,
1450,319.8356018,1450,247.1770935,1450,240.6891327,1450,358.5078125,1450,174.4547119,
1448,319.9391785,1448,245.8800964,1448,240.7080383,1448,358.4944153,1448,173.5823059,
1446,320.4868774,1446,245.5644073,1446,240.2003326,1446,358.2116089,1446,173.3530579,
1444,320.5684814,1444,245.6869354,1444,237.9742584,1444,358.2846375,1444,173.3236694,
1442,319.8683167,1442,246.1326599,1442,237.3295746,1442,357.902771,1442,173.9240265,
1440,318.7564697,1440,247.2076111,1440,237.6339264,1440,357.0814209,1440,173.5045013,
1438,318.465271,1438,246.7422791,1438,238.2472992,1438,356.2219543,1438,173.2215118,
1436,318.3244934,1436,246.1895294,1436,240.4836884,1436,355.696991,1436,172.4167938,
1434,318.4909973,1434,244.6277618,1434,240.3283386,1434,355.4724731,1434,171.4533081,
1432,319.1687012,1432,243.8421021,1432,239.7187958,1432,354.7898254,1432,171.1538086,
1430,319.2117615,1430,243.9418488,1430,237.7008667,1430,354.8339844,1430,171.3027649,
1428,318.322937,1428,243.9788818,1428,236.6287231,1428,354.3059998,1428,171.861145,
1426,317.2931213,1426,244.8324432,1426,236.3223267,1426,353.0883484,1426,171.5295258,
1424,316.5279541,1424,244.4229584,1424,236.5569763,1424,352.0957947,1424,171.4090576,
1422,316.4938965,1422,243.9768372,1422,238.8202667,1422,351.4992371,1422,170.5821533,
1420,316.8464661,1420,242.5449066,1420,238.7521515,1420,351.5376892,1420,169.8462524,
1418,317.3058167,1418,241.8729248,1418,238.249176,1418,350.9291382,1418,169.709198,
1416,317.1783447,1416,242.2020721,1416,236.5346222,1416,351.5959778,1416,169.7202454,
1414,316.3913574,1414,241.8942719,1414,234.706543,1414,350.6943359,1414,170.352417,
1412,316.1658936,1412,243.2763062,1412,235.3209229,1412,350.1150818,1412,170.1876831,
