FePS3_SameGrating2,,
Wavelength (nm),%T,
UV Source                         On
Vis Source                        On
Third Source                      Off
Source Changeover (nm)            300.00
Detector Changeover (nm)          750.00
Grating Changeover (nm)           750.00
Baseline Correction               Off
Cycle Mode                        Off
Comments
Method Log     :
Method Name    :
Date/Time stamp: 16/11/2023 2:48:44 PM
Method Modifications:
X Start nm Changed: 16/11/2023 2:57:04 PM, Old: 800.00, New:1600.00
Idpt Control Changed: 16/11/2023 2:57:04 PM, Old:0, New:1
UVVIS Interval nm Changed: 16/11/2023 2:57:04 PM, Old:     1.00, New:     2.00
NIR Scan Rate nm Changed: 16/11/2023 2:57:04 PM, Old:  600.000, New: 1800.000
NIR Interval nm Changed: 16/11/2023 2:57:04 PM, Old:     1.00, New:     3.00
Baseline Correction Changed: 16/11/2023 2:57:04 PM, Old:0, New:1
Y mode Changed: 16/11/2023 2:59:16 PM, Old:Abs, New:%T
X Stop nm Changed: 16/11/2023 3:21:34 PM, Old: 200.00, New: 350.00
Source changeover Changed: 16/11/2023 3:21:34 PM, Old:   350.00, New:   300.00
Detector changeover Changed: 16/11/2023 3:21:34 PM, Old:   800.00, New:  1000.00
Grating changeover Changed: 16/11/2023 3:21:34 PM, Old:   800.00, New:   900.00
Baseline Correction Changed: 16/11/2023 3:21:34 PM, Old:1, New:0
X Stop nm Changed: 16/11/2023 3:26:12 PM, Old: 350.00, New: 400.00
Detector changeover Changed: 16/11/2023 3:26:12 PM, Old:  1000.00, New:  1300.00
Grating changeover Changed: 16/11/2023 3:26:12 PM, Old:   900.00, New:   800.00
Baseline Correction Changed: 16/11/2023 3:26:12 PM, Old:0, New:1
Detector changeover Changed: 16/11/2023 3:29:35 PM, Old:  1300.00, New:  1150.00
Detector changeover Changed: 16/11/2023 3:32:18 PM, Old:  1150.00, New:  1005.00
Detector changeover Changed: 16/11/2023 4:28:41 PM, Old:  1005.00, New:   980.00
Idpt Control Changed: 16/11/2023 4:28:41 PM, Old:1, New:0
Baseline Correction Changed: 16/11/2023 4:28:41 PM, Old:1, New:0
Storage Changed: 16/11/2023 4:28:41 PM, Old:1, New:0
Detector changeover Changed: 16/11/2023 5:15:34 PM, Old:   980.00, New:  1400.00
Detector changeover Changed: 16/11/2023 5:19:27 PM, Old:  1400.00, New:   400.00
Grating changeover Changed: 16/11/2023 5:29:28 PM, Old:   800.00, New:   400.00
Detector changeover Changed: 16/11/2023 5:33:32 PM, Old:   400.00, New:   750.00
Grating changeover Changed: 16/11/2023 5:33:32 PM, Old:   400.00, New:   750.00
End Method Modifications
<SBW (nm)> , 2.00
<Energy> , 218.78
<Slit height> , Full
<Current Wavelength> , 399.00

